id,song_name,URL,start,end
15DeqWWQB4dcEWzJg15VrN,OurSong,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,0,30
1vrd6UOGamcKNGnSHJQlSt,LoveStory,https://open.spotify.com/track/1vrd6UOGamcKNGnSHJQlSt,0,30
4WXzzCof26KJLTK5kK53dS,HeyStephen,https://open.spotify.com/track/4WXzzCof26KJLTK5kK53dS,0,30
1fo2ctLqj3zBhRQKOXprol,Style,https://open.spotify.com/track/1fo2ctLqj3zBhRQKOXprol,0,30
5xTtaWoae3wi06K5WfVUUH,ShakeItOff,https://open.spotify.com/track/5xTtaWoae3wi06K5WfVUUH,0,30
5yEPktRqvIhko5QFF3aBhQ,Mean,https://open.spotify.com/track/5yEPktRqvIhko5QFF3aBhQ,0,30
0CLnkxpa3M4eA3HeGaERat,Gorgeous,https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat,0,30
7zMcNqs55Mxer82bvZFkpg,TeardropsOnMyGuitarRadioSingleRemix,https://open.spotify.com/track/7zMcNqs55Mxer82bvZFkpg,0,30
3U4isOIWM3VvDubwSI3y7a,AllofMe,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,0,30
6GmUVqe73u5YRfUUynZK6I,LetHerGo,https://open.spotify.com/track/6GmUVqe73u5YRfUUynZK6I,0,30
5Db9VIdDsN5yu3Eu7CT0i4,StayWithMe,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4,0,30
1VdZ0vKfR5jneCmWIUAMxK,TheATeam,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK,0,30
1jYiIOC5d6soxkJP81fxq2,ImtheOnefeatJustinBieberQuavoChancetheRapperLilWayne,https://open.spotify.com/track/1jYiIOC5d6soxkJP81fxq2,0,30
2JZKXgq5zsokN01KWyiY6n,Mirrors,https://open.spotify.com/track/2JZKXgq5zsokN01KWyiY6n,0,30
4lCv7b86sLynZbXhfScfm2,Firework,https://open.spotify.com/track/4lCv7b86sLynZbXhfScfm2,0,30
0tgVpDi06FyKpA1z0VMD4v,Perfect,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0,30
4B0JvthVoAAuygILe3n4Bs,WhatDoYouMean,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,0,30
3Du2K5dLzmduCNp6uwuaL0,SorryNotSorry,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0,0,30
6D60klaHqbCl9ySc8VcRss,StrongerWhatDoesntKillYou,https://open.spotify.com/track/6D60klaHqbCl9ySc8VcRss,0,30
2dWgzqawzDkBL8QfZw92Ub,InCaseYouDidntKnow,https://open.spotify.com/track/2dWgzqawzDkBL8QfZw92Ub,0,30
3IPkbTA8KkdDXyWtGkfFXa,SinglesYouUp,https://open.spotify.com/track/3IPkbTA8KkdDXyWtGkfFXa,0,30
6zLdXcmvIxnAXpz9sXFnIE,CravingYou,https://open.spotify.com/track/6zLdXcmvIxnAXpz9sXFnIE,0,30
2Nc8Imt04W3ZmcBF8dPQKc,AllOnMe,https://open.spotify.com/track/2Nc8Imt04W3ZmcBF8dPQKc,0,30
6znSbsDDFdBZaiucjUGaWy,LightItUp,https://open.spotify.com/track/6znSbsDDFdBZaiucjUGaWy,0,30
30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ,0,30
2n5ZD87XQ2yvIxGjoYbUmZ,IllNametheDogs,https://open.spotify.com/track/2n5ZD87XQ2yvIxGjoYbUmZ,0,30
0kdiUZDcLIFw0Buo9r0Q4z,GreatestLoveStory,https://open.spotify.com/track/0kdiUZDcLIFw0Buo9r0Q4z,0,30
6UsoV6X96Rox9mfxoz7SFy,YouBrokeUpwithMe,https://open.spotify.com/track/6UsoV6X96Rox9mfxoz7SFy,0,30
1mJMD1VIQ7jWTP9DK2zmY0,KissSomebody,https://open.spotify.com/track/1mJMD1VIQ7jWTP9DK2zmY0,0,30
3T6MAweakkNrMYs8jZIWtg,LikeILovedYou,https://open.spotify.com/track/3T6MAweakkNrMYs8jZIWtg,0,30
1KTLLe980WR4RLKg74Ud6e,TheLongWay,https://open.spotify.com/track/1KTLLe980WR4RLKg74Ud6e,0,30
7iDa6hUg2VgEL1o1HjmfBn,MeanttoBefeatFloridaGeorgiaLine,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,0,30
4oeGQb7zAVNRkpjjoNHK5K,GettingOverYou,https://open.spotify.com/track/4oeGQb7zAVNRkpjjoNHK5K,0,30
0OWZFobGSIW9GrSlQ9C5pc,MarryMe,https://open.spotify.com/track/0OWZFobGSIW9GrSlQ9C5pc,0,30
7zVCrzzEJU7u24sbJPXA5W,WhatIfsfeatLaurenAlaina,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W,0,30
3I7krC8kr0gFR7P6vInR1I,DoIMakeYouWanna,https://open.spotify.com/track/3I7krC8kr0gFR7P6vInR1I,0,30
5Zx1zVpDJsNgyY3HvNfsfC,HappensLikeThat,https://open.spotify.com/track/5Zx1zVpDJsNgyY3HvNfsfC,0,30
6OUdBkpAQtKyZ74cKukZ9W,WeWereThatSong,https://open.spotify.com/track/6OUdBkpAQtKyZ74cKukZ9W,0,30
7LP4Es66zdY7CyjepqmvAg,Down,https://open.spotify.com/track/7LP4Es66zdY7CyjepqmvAg,0,30
2PpruBYCo4H7WOBJ7Q2EwM,HeyYa,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,0,30
6WLS56xiRrXjSm9RSdL3zD,NeverForgetYou,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD,0,30
1MtUq6Wp1eQ8PC6BbPCj8P,ITookAPillInIbizaSeebRemix,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P,0,30
2vwlzO0Qp8kfEtzTsCXfyE,WreckingBall,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,0,30
3DmW6y7wTEYHJZlLo1r6XJ,Shower,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ,0,30
12GEpg2XOPyqk03JZEZnJs,ItAintMewithSelenaGomez,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs,0,30
5KONnBIQ9LqCxyeSPin26k,Trumpets,https://open.spotify.com/track/5KONnBIQ9LqCxyeSPin26k,0,30
6Iocm6VMu6bVNYwiDoyQFW,ComingHome,https://open.spotify.com/track/6Iocm6VMu6bVNYwiDoyQFW,0,30
5knuzwU65gJK7IF5yJsuaW,RockabyefeatSeanPaulAnneMarie,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0,30
6epn3r7S14KUqlReYr77hA,Baby,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,0,30
49FYlytm3dAAraYgpoJZux,Umbrella,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,0,30
5vlEg2fT4cFWAqU5QptIpQ,Replay,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ,0,30
1DqdF42leyFIzqNDv9CjId,Dynamite,https://open.spotify.com/track/1DqdF42leyFIzqNDv9CjId,0,30
4vp2J1l5RD4gMZwGFLfRAu,IGottaFeeling,https://open.spotify.com/track/4vp2J1l5RD4gMZwGFLfRAu,0,30
67WTwafOMgegV6ABnBQxcE,SomeNights,https://open.spotify.com/track/67WTwafOMgegV6ABnBQxcE,0,30
5IMtdHjJ1OtkxbGe4zfUxQ,EscapeThePinaColadaSong,https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ,0,30
1LeWIs2hP2r5yOQnVuYoI5,AintNoMountainHighEnough,https://open.spotify.com/track/1LeWIs2hP2r5yOQnVuYoI5,0,30
5YTtTbqxUzJHD3CpbNHerP,BrighterThanTheSun,https://open.spotify.com/track/5YTtTbqxUzJHD3CpbNHerP,0,30
6l7tK5SsMlN8a9ccgeIkpS,SweetCarolineSingleVersion,https://open.spotify.com/track/6l7tK5SsMlN8a9ccgeIkpS,0,30
4W4wYHtsrgDiivRASVOINL,LoveShack,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL,0,30
05wIrZSwuaVWhcv5FfqeH0,WalkingOnSunshine,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,0,30
7yq4Qj7cqayVTp3FF9CWbm,Riptide,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,0,30
2nXM8IVqKtyO6JKsLlXWAy,HoHey,https://open.spotify.com/track/2nXM8IVqKtyO6JKsLlXWAy,0,30
3HRQtRUYnnuZY7fE900XtJ,DontStopBelievin,https://open.spotify.com/track/3HRQtRUYnnuZY7fE900XtJ,0,30
22c2pt75xtnDddA5Zlm0yy,AllStar,https://open.spotify.com/track/22c2pt75xtnDddA5Zlm0yy,0,30
5R9a4t5t5O0IsznsrKPVro,SingleLadiesPutaRingonIt,https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro,0,30
7ksYJ95P5vP87A0GH34CIk,RidinSolo,https://open.spotify.com/track/7ksYJ95P5vP87A0GH34CIk,0,30
03oZejWqXLbKhhM4iTgShq,WhatMakesYouBeautiful,https://open.spotify.com/track/03oZejWqXLbKhhM4iTgShq,0,30
20I6sIOMTCkB6w7ryavxtO,CallMeMaybe,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,0,30
6RgGppm2SSX5p246UqfdEi,SweetHomeAlabama,https://open.spotify.com/track/6RgGppm2SSX5p246UqfdEi,0,30
3X7abqSXC4xrxuC1ykpWcY,LivinOnAPrayer,https://open.spotify.com/track/3X7abqSXC4xrxuC1ykpWcY,0,30
2LawezPeJhN4AWuSB0GtAU,HaveYouEverSeenTheRain,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,0,30
5e3l460eVGMNqQgFc9Rv7q,September,https://open.spotify.com/track/5e3l460eVGMNqQgFc9Rv7q,0,30
66AiuTr5v9tw6B8gXau2aU,IceIceBaby,https://open.spotify.com/track/66AiuTr5v9tw6B8gXau2aU,0,30
6Vc5wAMmXdKIAM7WUoEb7N,SaySomething,https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N,0,30
2Fs18NaCDuluPG1DHGw1XG,LifeisaHighway,https://open.spotify.com/track/2Fs18NaCDuluPG1DHGw1XG,0,30
7BqBn9nzAq8spo5e7cZ0dJ,JusttheWayYouAre,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,0,30
43btz2xjMKpcmjkuRsvxyg,JackDiane,https://open.spotify.com/track/43btz2xjMKpcmjkuRsvxyg,0,30
7woZGXjtaYwuvSoU1zToB3,FreeFallin,https://open.spotify.com/track/7woZGXjtaYwuvSoU1zToB3,0,30
4rsW3WCZBGwhHfJWuHRwyT,Home,https://open.spotify.com/track/4rsW3WCZBGwhHfJWuHRwyT,0,30
4dGJf1SER1T6ooX46vwzRB,ChickenFried,https://open.spotify.com/track/4dGJf1SER1T6ooX46vwzRB,0,30
0kN3oXYWWAk1uC0y2WoyOE,LoveStory,https://open.spotify.com/track/0kN3oXYWWAk1uC0y2WoyOE,0,30
3xdjjKMcMOFgo1eQrfbogM,WagonWheel,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM,0,30
2WfaOiMkCvy7F5fcp2zZ8L,TakeonMe,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,0,30
3cHyrEgdyYRjgJKSOiOtcS,TimberfeatKeha,https://open.spotify.com/track/3cHyrEgdyYRjgJKSOiOtcS,0,30
4uUwD0uYzIDjKMKQglzmD2,SongoftheSouth,https://open.spotify.com/track/4uUwD0uYzIDjKMKQglzmD2,0,30
4swEkkLocrQ569W1lYIbdX,DixielandDelightSingleEdit,https://open.spotify.com/track/4swEkkLocrQ569W1lYIbdX,0,30
7lJSxSUUlrZ7CxiyO3X0vq,HeySoulSister,https://open.spotify.com/track/7lJSxSUUlrZ7CxiyO3X0vq,0,30
4356Typ82hUiFAynbLYbPn,DJGotUsFallinInLovefeatPitbull,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,0,30
4esOae7i4rqTbAu9o5Pxco,GirlonFire,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco,0,30
7l1qvxWjxcKpB9PCtBuTbU,CountonMe,https://open.spotify.com/track/7l1qvxWjxcKpB9PCtBuTbU,0,30
22PMfvdz35fFKYnJyMn077,MarryYou,https://open.spotify.com/track/22PMfvdz35fFKYnJyMn077,0,30
3w3y8KPTfNeOKPiqUTakBh,LockedoutofHeaven,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,0,30
0kN8xEmgMW9mh7UmDYHlJP,VersaceontheFloor,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,0,30
